RESPID,GENDER,AGE,WORKING,REGION,MUSIC,LIST_OWN,LIST_BACK,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
5876,Female,17,,South,Music means a lot to me and is a passion of mine,1,1,29,61,42,15,15,84,27,17,29,84,67,90,31,29,7,7,64,,
5877,Female,19,,North,Music is important to me but not necessarily more important,,,70,71,70,28,30,53,90,55,10,51,74,75,75,77,18,18,82,,
5878,Male,24,,North,Music means a lot to me and is a passion of mine,2,1,6,29,8,9,10,10,11,11,12,12,28,71,9,10,33,9,68,,
5879,Male,24,,Centre,Music is important to me but not necessarily more important,0,1,9,9,52,52,51,53,93,93,35,54,92,74,51,70,53,10,53,,
5880,Male,19,,South,Music is important to me but not necessarily more important,3,,34,71,7,7,7,100,94,91,50,36,6,10,10,73,9,5,51,,
5881,Female,24,,South,Music means a lot to me and is a passion of mine,15,,97,57,73,92,50,5,9,7,25,47,46,54,30,49,49,8,54,,
5882,Male,24,,South,Music means a lot to me and is a passion of mine,,,68,70,71,69,71,63,69,69,71,72,71,71,71,73,65,65,66,,
5883,Female,24,,South,Music means a lot to me and is a passion of mine,1,,4,38,15,6,2,28,11,32,27,59,78,89,63,28,25,8,100,,
5884,Female,20,,Centre,Music means a lot to me and is a passion of mine,1,2,24,12,53,71,26,11,13,13,71,27,48,10,31,20,46,34,42,,
5885,Female,24,,South,Music means a lot to me and is a passion of mine,1,2,69,72,73,29,21,21,42,30,23,80,84,68,38,37,53,19,63,,
5886,Female,19,,Centre,Music is important to me but not necessarily more important,1,,10,53,60,49,42,20,73,13,67,40,83,72,66,77,12,9,50,,
5887,Female,22,,Centre,Music means a lot to me and is a passion of mine,2,1,63,50,47,21,60,82,63,29,9,71,72,89,58,51,62,81,88,,
5888,Male,20,,North,Music is important to me but not necessarily more important,4,1,81,43,88,59,44,45,61,88,51,85,44,79,48,88,59,62,96,,
5889,Female,21,,South,I like music but it does not feature heavily in my life,,1,51,52,40,38,45,58,94,100,10,47,100,100,100,91,5,13,97,,
5890,Female,20,,North,I like music but it does not feature heavily in my life,5,10,85,55,47,76,53,54,87,63,47,5,49,16,73,70,50,33,71,,
5891,Female,19,,North,Music is important to me but not necessarily more important,1,3,49,71,78,5,49,94,50,48,9,51,75,50,92,76,71,5,77,,
5892,Female,18,,North,Music means a lot to me and is a passion of mine,1,3,91,61,94,71,70,33,53,34,31,56,95,79,92,64,62,57,71,,
5893,Female,20,,South,Music is important to me but not necessarily more important,0,1,26,28,28,29,14,15,16,15,26,17,20,20,22,63,29,32,49,,
5894,Female,17,,South,Music means a lot to me and is a passion of mine,4,3,50,72,87,57,71,55,13,10,54,74,76,68,56,81,43,23,69,,
5895,Male,24,,North,Music means a lot to me and is a passion of mine,3,,85,74,96,34,17,73,30,15,54,94,24,31,28,50,74,43,68,,
5896,Male,58,,South,Music means a lot to me and is a passion of mine,2,3,72,72,73,73,27,26,52,51,71,92,93,93,93,93,52,71,71,,
5897,Female,24,,North,Music means a lot to me and is a passion of mine,9,,89,90,95,4,4,16,4,5,5,89,63,44,65,78,90,52,11,,
5898,Female,20,,North,Music is important to me but not necessarily more important,,,71,84,59,8,9,11,12,12,14,92,90,83,89,61,33,73,55,,
5899,Male,23,,North,Music means a lot to me and is a passion of mine,1,9,71,71,71,51,3,2,3,70,51,90,2,2,52,52,53,53,50,,
5900,Female,21,,Centre,Music means a lot to me and is a passion of mine,2,,38,50,49,41,42,39,43,40,42,42,59,45,38,40,39,29,50,,
5901,Female,24,,Centre,Music means a lot to me and is a passion of mine,1,0,59,57,80,59,61,9,11,10,32,93,90,94,50,51,50,31,76,,
5902,Female,19,,South,Music is important to me but not necessarily more important,2,3,32,29,28,19,28,73,4,0,83,52,40,41,48,73,18,1,61,,
5903,Female,23,,Centre,Music is important to me but not necessarily more important,,,49,8,39,39,18,6,64,64,11,3,8,7,9,62,10,61,55,,
5904,Female,23,,North,Music is no longer as important as it used to be to me,0,0,8,8,15,35,35,71,29,12,80,8,80,72,37,36,9,8,71,,
5905,Male,30,,Centre,Music is important to me but not necessarily more important,8,1,54,51,50,50,51,51,50,47,50,56,54,55,55,55,55,55,55,,
5906,Male,19,,Centre,Music means a lot to me and is a passion of mine,3,1,78,78,69,35,76,95,80,79,35,96,64,68,92,46,74,79,48,,
5907,Female,20,,Centre,Music is important to me but not necessarily more important,6,1,84,79,96,7,7,4,74,14,3,96,77,90,10,72,53,12,90,,
5908,Female,22,,North,I like music but it does not feature heavily in my life,0,1,29,45,37,47,45,52,69,64,47,12,47,54,21,36,10,30,71,,
5909,Male,23,,South,Music is important to me but not necessarily more important,,,91,90,74,55,34,51,74,73,73,53,52,53,70,71,53,71,72,,
5910,Male,18,,South,Music is important to me but not necessarily more important,0,1,53,41,34,77,55,2,60,37,77,92,73,73,91,67,40,62,89,,
5911,Male,21,,Centre,Music means a lot to me and is a passion of mine,2,1,89,48,63,18,44,55,76,56,39,91,25,47,99,100,6,73,92,,
5912,Male,18,,South,Music is important to me but not necessarily more important,3,2,55,67,58,10,4,54,3,10,31,48,26,26,45,53,26,2,41,,
5913,Female,23,,South,Music is important to me but not necessarily more important,2,2,50,74,62,32,6,8,13,10,24,68,81,80,43,50,18,3,76,,
5914,Female,19,,South,Music is important to me but not necessarily more important,1,3,96,95,91,91,72,73,78,90,73,80,95,73,89,69,72,54,55,,
5915,Male,21,,North,Music means a lot to me and is a passion of mine,2,2,71,52,72,54,34,55,4,4,43,72,66,59,43,46,41,4,45,,
5916,Female,23,,South,Music is important to me but not necessarily more important,1,1,50,74,52,33,36,98,78,53,27,32,72,51,52,70,52,29,31,,
5917,Male,22,,North,Music is important to me but not necessarily more important,0,3,35,70,31,31,32,33,32,31,32,79,68,68,69,71,31,34,77,,
5918,Male,21,,North,Music is important to me but not necessarily more important,2,0,28,51,49,44,38,27,4,3,23,47,31,26,29,56,26,24,19,,
5919,Male,45,,Centre,Music is important to me but not necessarily more important,3,,52,69,52,33,70,51,42,75,41,70,88,88,61,61,43,42,42,,
5920,Male,21,,North,Music means a lot to me and is a passion of mine,3,0,68,81,100,34,3,40,13,2,100,100,43,45,100,70,80,7,64,,
5921,Female,20,,North,Music is important to me but not necessarily more important,12,5,46,65,42,35,56,77,47,65,34,82,65,60,65,65,47,39,62,,
5922,Male,22,,Centre,I like music but it does not feature heavily in my life,1,,51,42,72,61,57,38,2,2,41,33,5,2,73,72,31,22,59,,
5923,Female,24,,South,Music is no longer as important as it used to be to me,0,,10,6,51,74,73,8,13,13,96,11,54,33,10,56,11,10,35,,
5924,Male,19,,South,Music means a lot to me and is a passion of mine,1,4,93,48,93,69,66,6,47,48,7,60,47,52,67,85,75,53,100,,
5925,Female,22,,North,Music is important to me but not necessarily more important,2,8,69,69,69,7,8,5,93,75,6,78,47,47,96,92,51,67,69,,
5926,Male,22,,North,Music is important to me but not necessarily more important,1,,55,66,66,50,71,53,15,2,4,78,70,31,100,100,7,6,52,,
5927,Female,24,,North,Music means a lot to me and is a passion of mine,3,1,85,82,74,50,26,67,80,80,17,77,63,58,59,52,39,50,76,,
5928,Female,18,,South,Music means a lot to me and is a passion of mine,5,5,91,88,91,11,90,57,31,59,9,93,92,91,90,90,92,94,93,,
5929,Female,19,,North,Music means a lot to me and is a passion of mine,2,1,45,39,74,24,36,88,70,100,17,37,70,51,70,100,100,51,34,,
5930,Male,18,,North,I like music but it does not feature heavily in my life,0,,69,99,100,52,6,60,49,34,50,41,75,75,25,49,10,10,52,,
5931,Male,21,,Centre,Music means a lot to me and is a passion of mine,2,0,58,86,76,8,6,62,10,12,4,42,55,26,27,51,53,4,45,,
5932,Male,20,,North,Music means a lot to me and is a passion of mine,2,3,88,70,82,59,77,54,76,73,75,95,48,68,93,90,69,52,96,,
5933,Male,22,,North,Music is important to me but not necessarily more important,3,1,65,58,58,8,32,32,52,8,53,71,69,71,86,70,52,30,72,,
5934,Female,22,,North,Music means a lot to me and is a passion of mine,,,71,33,77,26,35,75,89,77,55,74,3,4,49,77,91,9,9,,
5935,Female,23,,South,Music is important to me but not necessarily more important,1,1,50,24,65,71,71,77,71,55,31,16,90,80,52,51,29,23,86,,
5936,Male,19,,Centre,Music is important to me but not necessarily more important,3,4,73,71,73,75,0,100,53,53,55,55,54,54,56,68,50,49,72,,
5937,Male,23,,South,Music has no particular interest for me,,,10,10,12,53,49,68,51,50,51,33,72,55,55,57,32,13,12,,
5938,Male,21,,Centre,I like music but it does not feature heavily in my life,0,10,8,68,29,14,12,94,28,49,50,8,7,11,11,10,8,8,8,,
5939,Male,22,,North,Music means a lot to me and is a passion of mine,15,3,92,92,93,51,51,1,73,50,30,68,69,70,85,29,56,31,91,,
5940,Male,21,,Centre,Music is important to me but not necessarily more important,1,3,50,31,68,78,55,0,2,2,20,52,38,31,27,54,8,7,27,,
5941,Female,24,,South,Music is important to me but not necessarily more important,2,2,70,70,68,11,11,11,51,51,30,70,90,71,51,91,52,9,64,,
5942,Female,20,,Centre,Music means a lot to me and is a passion of mine,3,2,100,72,77,9,9,9,31,49,14,71,59,51,82,100,100,100,100,,
5943,Female,20,,South,Music means a lot to me and is a passion of mine,2,3,85,86,77,38,60,25,10,23,32,67,77,77,62,43,68,39,70,,
5944,Female,22,,North,Music means a lot to me and is a passion of mine,4,8,71,90,93,11,6,3,46,8,3,92,52,49,100,96,68,52,58,,
5945,Female,18,,Centre,I like music but it does not feature heavily in my life,1,7,50,73,53,33,11,29,49,28,29,6,73,50,31,49,9,49,75,,
5946,Female,24,,North,Music means a lot to me and is a passion of mine,2,1,87,67,87,54,9,51,9,9,19,95,14,96,94,73,52,10,90,,
5947,Female,23,,Centre,Music is important to me but not necessarily more important,3,3,76,49,49,55,31,52,54,56,7,55,7,9,55,48,52,35,52,,
5948,Male,24,,South,Music means a lot to me and is a passion of mine,4,4,100,100,100,1,1,1,34,35,1,100,100,100,100,100,100,100,76,,
5949,Female,22,,South,Music means a lot to me and is a passion of mine,1,1,70,67,69,69,70,70,70,73,30,49,67,69,72,72,74,73,76,,
5950,Male,22,,South,Music is important to me but not necessarily more important,2,2,71,36,25,49,48,72,56,25,36,70,59,38,71,43,29,65,57,,
5951,Female,24,,Centre,Music has no particular interest for me,,,9,12,11,9,11,9,11,12,13,13,12,12,13,9,8,8,9,,
5952,Male,19,,South,Music is important to me but not necessarily more important,1,2,77,56,74,75,76,14,59,57,45,45,93,54,92,76,24,24,87,,
5953,Male,25,,South,Music is important to me but not necessarily more important,2,1,69,68,69,52,33,12,12,30,52,51,51,53,71,70,49,72,57,,
5954,Male,21,,South,Music is important to me but not necessarily more important,4,1,51,30,81,61,58,1,1,1,55,99,51,51,69,90,53,4,33,,
5955,Female,23,,Centre,Music means a lot to me and is a passion of mine,5,3,93,53,93,7,11,66,88,70,30,76,74,12,72,89,28,90,91,,
5956,Male,24,,North,Music is important to me but not necessarily more important,3,5,51,69,66,50,34,34,53,68,12,51,74,73,51,74,72,53,78,,
5957,Female,24,,North,Music is important to me but not necessarily more important,3,8,90,52,93,69,69,71,73,32,32,73,74,88,51,39,74,30,90,,
5958,Female,19,,South,Music is important to me but not necessarily more important,1,,70,72,72,33,36,64,57,64,21,32,71,72,60,79,62,62,82,,
5959,Male,23,,Centre,Music is important to me but not necessarily more important,,,51,69,61,44,26,31,57,45,29,51,51,51,50,67,48,49,48,,
5960,Female,23,,North,Music is important to me but not necessarily more important,,7,38,92,53,9,11,53,54,14,33,55,72,11,88,88,29,11,88,,
5961,Male,48,,North,Music is important to me but not necessarily more important,2,5,26,29,15,15,40,22,6,9,52,91,77,52,72,68,64,19,30,,
5962,Female,20,,South,Music means a lot to me and is a passion of mine,7,4,100,100,100,30,12,74,59,9,2,100,68,31,62,88,93,7,58,,
5963,Female,24,,Centre,I like music but it does not feature heavily in my life,2,4,20,46,34,27,49,6,24,36,4,65,24,16,43,61,32,25,66,,
5964,Female,22,,South,Music is important to me but not necessarily more important,,,69,52,63,13,13,26,12,10,54,72,35,83,49,48,33,31,53,,
5965,Female,23,,South,Music means a lot to me and is a passion of mine,2,1,72,62,100,10,22,10,92,100,60,100,44,46,47,32,79,23,65,,
5966,Female,21,,North,Music means a lot to me and is a passion of mine,14,2,78,50,97,8,30,17,53,52,33,92,68,51,90,75,95,34,76,,
5967,Female,21,,South,Music is important to me but not necessarily more important,2,4,69,70,73,52,7,77,98,93,88,61,93,91,90,90,20,56,73,,
5968,Male,18,,South,Music means a lot to me and is a passion of mine,4,2,54,68,63,24,48,66,10,78,69,69,88,48,33,87,50,30,81,,
5969,Male,24,,North,I like music but it does not feature heavily in my life,2,2,36,34,34,32,10,74,34,8,72,37,78,32,56,51,31,3,34,,
5970,Male,17,,South,I like music but it does not feature heavily in my life,1,,46,53,58,55,59,51,55,63,5,41,58,61,57,52,54,54,67,,
5971,Female,23,,North,Music means a lot to me and is a passion of mine,4,1,79,70,76,48,77,70,10,27,27,96,96,95,80,79,57,29,82,,
5972,Female,16,,South,Music means a lot to me and is a passion of mine,2,1,81,79,70,37,58,10,53,49,96,73,74,95,95,88,54,51,67,,
5973,Male,23,,South,Music is important to me but not necessarily more important,2,7,67,40,59,61,51,73,51,61,47,67,61,50,63,65,64,69,58,,
5974,Female,24,,North,Music is important to me but not necessarily more important,2,5,65,66,69,53,39,33,47,27,48,50,75,77,69,56,17,31,83,,
5975,Female,19,,South,Music means a lot to me and is a passion of mine,4,1,57,65,50,31,41,39,10,5,12,73,100,100,79,91,66,96,94,,
5976,Female,18,,Centre,Music means a lot to me and is a passion of mine,3,1,69,57,59,52,15,66,53,27,21,55,56,69,67,83,54,19,70,,
5977,Male,21,,Centre,Music means a lot to me and is a passion of mine,20,2,73,67,71,64,73,66,74,69,77,72,71,62,59,74,67,68,72,,
5978,Male,62,,Centre,Music is important to me but not necessarily more important,1,3,48,66,67,32,31,58,6,5,75,63,67,66,29,54,26,16,29,,
5979,Male,34,,North,Music means a lot to me and is a passion of mine,5,5,47,46,48,47,48,48,48,49,55,54,55,54,53,54,53,55,55,,
5980,Male,23,,Centre,Music is important to me but not necessarily more important,1,2,53,51,49,51,52,51,51,53,52,53,54,54,54,55,55,56,55,,
5981,Male,22,,Centre,Music means a lot to me and is a passion of mine,5,1,57,67,72,24,25,13,15,68,73,89,51,51,86,83,69,86,54,,
5982,Female,24,,South,Music is important to me but not necessarily more important,0,0,21,58,49,54,29,28,46,29,62,67,68,56,73,80,49,30,80,,
5983,Male,24,,North,Music means a lot to me and is a passion of mine,4,2,87,87,90,90,5,29,60,17,34,44,94,94,69,64,47,83,84,,
5984,Female,19,,North,Music is important to me but not necessarily more important,1,1,3,48,1,36,62,91,78,55,22,38,51,42,98,69,37,3,3,,
5985,Female,16,,South,Music is important to me but not necessarily more important,1,,72,42,88,90,57,65,86,69,68,69,59,28,84,80,65,75,69,,
5986,Female,18,,Centre,Music means a lot to me and is a passion of mine,1,1,73,54,75,75,33,51,71,51,31,53,70,71,71,93,73,53,91,,
5987,Female,35,,North,Music means a lot to me and is a passion of mine,3,1,97,86,84,25,11,44,51,42,28,94,75,74,63,76,50,32,81,,
5988,Male,22,,Centre,Music means a lot to me and is a passion of mine,10,0,72,100,100,8,8,8,11,8,12,100,7,9,100,100,52,71,100,,
5989,Female,23,,North,Music is important to me but not necessarily more important,,,51,51,50,52,53,51,50,49,49,50,50,49,49,50,51,48,50,,
5990,Female,,,South,Music means a lot to me and is a passion of mine,2,1,96,71,100,53,54,55,74,55,6,100,100,53,100,100,100,100,97,,
5991,Male,24,,South,Music has no particular interest for me,,,11,11,12,12,29,90,12,12,91,11,10,12,12,12,11,12,12,,
5992,Female,20,,North,Music is important to me but not necessarily more important,4,1,72,70,72,9,9,31,50,42,59,60,82,86,66,66,53,33,75,,
5993,Female,21,,North,Music means a lot to me and is a passion of mine,4,1,90,91,91,8,8,52,10,9,69,94,50,50,82,85,86,67,86,,
5994,Female,23,,North,Music means a lot to me and is a passion of mine,1,0,82,63,82,26,48,7,62,55,6,71,44,49,69,55,70,52,64,,
5995,Female,23,,South,Music is important to me but not necessarily more important,,7,75,75,69,28,29,31,69,69,25,68,67,65,66,67,68,49,73,,
5996,Male,22,,North,Music means a lot to me and is a passion of mine,1,1,79,91,93,34,10,10,82,80,13,61,83,91,91,90,74,76,93,,
5997,Female,24,,South,Music means a lot to me and is a passion of mine,2,6,73,92,92,45,30,82,25,11,55,52,83,77,98,87,33,14,94,,
5998,Female,21,,South,Music is important to me but not necessarily more important,,,47,50,50,51,48,44,39,40,42,41,70,70,53,55,39,24,60,,
5999,Male,20,,North,Music means a lot to me and is a passion of mine,2,3,96,77,90,31,11,61,40,4,22,84,81,68,61,68,92,29,51,,
6000,Female,60,,South,I like music but it does not feature heavily in my life,0,2,67,74,57,28,32,30,11,10,41,54,36,23,62,70,53,55,71,,
6001,Female,22,,North,Music is important to me but not necessarily more important,2,3,91,55,66,68,63,36,36,35,34,69,72,69,72,73,43,40,73,,
6002,Female,21,,South,Music is important to me but not necessarily more important,,3,53,73,53,36,54,55,72,49,47,30,71,72,50,74,28,35,72,,
6003,Male,17,,Centre,Music is important to me but not necessarily more important,1,1,48,86,76,53,54,40,72,73,54,48,33,4,34,96,33,53,77,,
6004,Female,21,,South,Music means a lot to me and is a passion of mine,2,1,97,97,100,87,1,1,6,78,100,76,100,100,83,100,61,100,74,,
6005,Male,23,,South,Music is important to me but not necessarily more important,1,,100,74,83,56,36,12,72,73,33,74,94,94,56,78,52,32,73,,
6006,Female,21,,South,I like music but it does not feature heavily in my life,0,0,29,30,51,70,33,72,8,9,69,34,32,31,30,49,30,8,67,,
6007,Female,20,,North,I like music but it does not feature heavily in my life,,,47,48,51,51,48,47,49,45,48,47,36,47,37,43,36,46,46,,
6008,Male,18,,South,Music is important to me but not necessarily more important,2,,30,34,33,36,5,49,18,18,50,64,21,18,48,47,15,12,17,,
6009,Male,22,,North,Music means a lot to me and is a passion of mine,3,3,98,97,98,12,13,13,51,33,70,93,68,61,51,99,68,12,72,,
6010,Male,21,,South,I like music but it does not feature heavily in my life,1,1,42,61,51,53,60,53,53,53,53,54,54,54,54,54,41,67,60,,
6011,Male,28,,South,Music means a lot to me and is a passion of mine,,5,62,46,71,69,41,81,93,80,70,48,72,67,87,83,72,62,87,,
6012,Male,22,,North,I like music but it does not feature heavily in my life,1,0,19,19,22,42,49,10,10,48,67,51,83,68,61,60,36,12,7,,
6013,Male,22,,South,Music means a lot to me and is a passion of mine,2,12,52,53,53,54,52,51,51,52,50,52,51,52,51,50,51,50,52,,
6014,Male,24,,South,Music means a lot to me and is a passion of mine,5,6,66,71,68,65,63,62,58,42,65,55,54,55,58,60,79,43,14,,
6015,Male,19,,North,Music is important to me but not necessarily more important,3,1,67,50,57,7,49,100,68,55,27,51,24,18,60,60,28,11,60,,
6016,Male,19,,Centre,Music means a lot to me and is a passion of mine,1,4,89,36,70,32,28,29,29,18,4,95,50,49,77,82,36,59,70,,
6017,Female,64,,North,Music is important to me but not necessarily more important,2,3,88,99,98,95,86,92,91,89,90,89,99,91,88,89,93,92,90,,
6018,Male,22,,South,Music means a lot to me and is a passion of mine,2,0,72,72,80,69,70,71,71,71,70,72,73,73,71,71,72,76,73,,
6019,Female,21,,South,Music is important to me but not necessarily more important,2,,54,9,76,7,36,37,91,92,31,69,7,7,29,49,67,49,20,,
6020,Female,23,,South,I like music but it does not feature heavily in my life,3,1,17,50,31,83,39,18,74,58,31,71,52,54,57,21,77,39,7,,
6021,Male,21,,North,Music means a lot to me and is a passion of mine,8,4,100,86,100,2,5,8,5,4,5,100,73,68,100,100,100,77,46,,
6022,Female,23,,Centre,Music means a lot to me and is a passion of mine,1,,50,51,71,50,32,50,36,27,28,69,77,80,53,44,41,36,49,,
6023,Male,20,,Centre,Music means a lot to me and is a passion of mine,1,4,75,54,78,70,51,33,34,33,33,52,30,32,69,71,71,10,33,,
6024,Female,22,,Centre,Music means a lot to me and is a passion of mine,,1,27,15,18,73,12,55,2,1,74,9,28,33,3,7,4,2,6,,
6025,Male,20,,South,Music is important to me but not necessarily more important,1,0,93,32,93,8,30,93,8,8,36,77,93,92,70,72,32,8,50,,
6026,Male,20,,North,Music is important to me but not necessarily more important,2,1,14,73,63,8,79,81,70,15,49,27,88,66,49,60,24,1,57,,
6027,Male,25,,Centre,Music means a lot to me and is a passion of mine,3,1,92,93,91,94,73,68,55,78,79,72,78,71,73,90,90,95,94,,
6028,Male,22,,North,I like music but it does not feature heavily in my life,1,4,39,39,41,43,3,48,34,33,2,98,64,1,75,76,39,1,91,,
6029,Female,24,,North,I like music but it does not feature heavily in my life,,,53,53,53,54,41,42,45,32,50,51,50,49,49,50,50,50,50,,
6030,Female,18,,North,Music means a lot to me and is a passion of mine,2,0,70,68,93,6,8,70,7,6,7,51,95,72,89,93,50,2,3,,
6031,Female,23,,North,I like music but it does not feature heavily in my life,1,0,76,64,50,54,78,51,100,73,74,36,55,56,42,37,29,43,80,,
6032,Male,18,,North,Music means a lot to me and is a passion of mine,3,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
6033,Female,22,,Centre,I like music but it does not feature heavily in my life,2,4,51,28,31,13,53,80,80,71,59,8,78,82,74,72,31,8,74,,
6034,Female,22,,North,I like music but it does not feature heavily in my life,0,0,33,32,34,33,37,60,87,88,56,31,65,35,17,18,35,31,68,,
6035,Female,24,,South,Music is important to me but not necessarily more important,3,,51,51,51,73,32,31,31,5,91,74,75,74,50,50,50,50,50,,
6036,Female,19,,North,Music means a lot to me and is a passion of mine,3,,100,74,100,100,30,28,66,47,0,61,71,52,66,69,72,31,39,,
6037,Male,24,,Centre,I like music but it does not feature heavily in my life,1,,25,33,31,42,43,97,15,26,45,35,35,28,53,29,24,46,15,,
6038,Female,22,,North,Music means a lot to me and is a passion of mine,1,2,66,71,67,7,4,6,21,23,26,47,90,90,69,70,58,9,22,,
6039,Male,19,,South,Music is important to me but not necessarily more important,,,43,49,47,42,25,74,44,47,29,59,16,17,59,65,40,59,34,,
6040,Male,18,,North,Music means a lot to me and is a passion of mine,5,1,69,63,53,41,22,29,34,41,46,52,55,58,60,100,31,28,47,,
6041,Male,27,,South,Music means a lot to me and is a passion of mine,1,2,95,94,93,95,96,97,95,96,95,94,97,94,91,95,94,94,94,,
6042,Male,18,,North,I like music but it does not feature heavily in my life,8,,28,68,61,61,18,33,33,28,23,63,10,8,48,57,24,13,27,,
6043,Male,22,,North,Music means a lot to me and is a passion of mine,5,3,49,53,70,25,67,38,59,68,42,97,68,29,27,76,62,68,63,,
6044,Male,19,,Centre,Music means a lot to me and is a passion of mine,8,5,52,85,49,72,0,32,49,4,65,9,71,54,53,52,29,50,81,,
6045,Female,22,,North,Music is important to me but not necessarily more important,,2,50,61,51,29,35,45,25,25,51,32,80,66,29,49,33,33,62,,
6046,Male,18,,Centre,I like music but it does not feature heavily in my life,,0,20,73,89,42,70,45,47,69,27,65,55,75,39,71,39,51,75,,
6047,Female,23,,South,Music is no longer as important as it used to be to me,,,40,30,40,68,86,28,48,22,92,52,32,21,49,49,22,6,58,,
6048,Female,24,,Centre,Music is important to me but not necessarily more important,0,4,53,72,53,10,10,33,6,6,30,62,61,48,48,49,10,45,68,,
6049,Female,21,,South,Music means a lot to me and is a passion of mine,2,3,56,49,86,70,53,56,65,68,49,33,77,69,77,76,51,73,66,,
6050,Male,34,,North,Music has no particular interest for me,,,52,53,53,51,53,53,53,54,54,54,55,55,56,50,50,51,51,,
6051,Male,17,,Centre,Music means a lot to me and is a passion of mine,3,,51,31,31,72,92,72,4,3,66,51,29,29,72,91,31,8,49,,
6052,Female,23,,South,Music is important to me but not necessarily more important,2,4,55,68,69,68,31,72,31,5,29,69,68,68,21,32,14,58,48,,
6053,Male,24,,North,Music is important to me but not necessarily more important,1,5,10,30,14,15,15,53,60,53,6,82,67,74,6,4,7,17,20,,
6054,Male,30,,North,Music means a lot to me and is a passion of mine,3,2,95,67,45,77,90,68,95,88,66,92,75,78,79,58,97,82,89,,
6055,Female,23,,North,Music means a lot to me and is a passion of mine,,,59,51,52,70,18,77,7,1,21,5,80,63,51,73,24,5,64,,
6056,Female,22,,Centre,Music is important to me but not necessarily more important,,8,13,13,15,12,45,66,52,56,9,9,71,71,72,50,8,10,47,,
6057,Female,22,,South,Music is important to me but not necessarily more important,2,8,95,89,87,29,31,13,15,14,16,84,49,51,69,68,68,49,90,,
6058,Female,23,,North,Music is important to me but not necessarily more important,,1,87,91,72,33,32,7,7,10,48,71,29,50,74,75,76,10,69,,
6059,Male,23,,North,I like music but it does not feature heavily in my life,0,2,67,51,55,63,87,29,75,43,52,14,45,34,53,66,34,39,83,,
6060,Male,23,,Centre,Music is important to me but not necessarily more important,1,1,26,68,49,11,27,29,4,3,25,67,4,7,24,47,48,9,28,,
6061,Male,23,,South,Music means a lot to me and is a passion of mine,2,1,40,55,75,87,56,70,62,79,62,78,62,53,57,51,70,53,83,,
6062,Female,22,,South,Music means a lot to me and is a passion of mine,1,10,55,100,60,1,3,1,4,5,41,75,9,5,27,66,49,3,7,,
6063,Female,21,,Centre,Music means a lot to me and is a passion of mine,5,5,53,52,50,49,51,46,47,45,45,50,53,48,50,52,54,52,46,,
6064,Female,20,,South,I like music but it does not feature heavily in my life,2,,54,37,54,43,73,49,60,31,50,8,21,15,46,48,20,6,52,,
6065,Male,16,,North,Music means a lot to me and is a passion of mine,3,2,81,77,73,59,69,12,37,17,25,81,55,38,57,78,73,17,47,,
6066,Female,22,,North,Music means a lot to me and is a passion of mine,1,1,69,37,76,51,70,16,71,57,77,77,82,83,55,61,59,55,68,,
6067,Male,19,,Centre,Music means a lot to me and is a passion of mine,3,1,54,71,83,67,80,61,67,67,69,69,71,67,70,76,73,73,72,,
6068,Female,24,,Centre,I like music but it does not feature heavily in my life,0,1,41,70,39,32,31,31,7,8,51,49,69,53,53,73,49,49,51,,
6069,Male,23,,North,Music means a lot to me and is a passion of mine,2,0,61,73,69,11,11,31,10,10,80,97,9,10,7,8,76,8,11,,
6070,Male,23,,Centre,Music is important to me but not necessarily more important,5,1,75,77,100,7,7,30,10,9,100,100,11,26,100,100,71,99,78,,
6071,Female,22,,North,Music means a lot to me and is a passion of mine,6,,18,46,72,50,29,38,38,13,97,18,26,29,29,77,78,35,58,,
6072,Female,18,,Centre,Music means a lot to me and is a passion of mine,6,1,100,100,100,2,2,2,100,58,2,100,46,29,73,100,100,81,87,,
6073,Male,22,,Centre,Music is important to me but not necessarily more important,2,0,75,75,72,8,10,95,6,6,58,9,10,8,73,72,12,4,4,,
6074,Female,20,,Centre,Music is important to me but not necessarily more important,3,,74,73,78,56,27,32,74,52,31,71,70,56,56,79,72,51,75,,
6075,Male,20,,Centre,Music means a lot to me and is a passion of mine,4,3,73,40,71,63,25,47,60,35,23,91,95,94,76,93,75,12,83,,
6076,Male,23,,South,Music is important to me but not necessarily more important,2,,80,66,75,70,50,20,4,2,30,88,48,48,78,74,59,26,79,,
6077,Male,24,,South,Music is important to me but not necessarily more important,2,3,34,71,32,13,11,71,73,72,47,30,68,68,69,69,31,35,66,,
6078,Male,21,,North,Music means a lot to me and is a passion of mine,2,3,91,94,92,92,50,29,33,7,7,90,70,50,93,94,73,74,93,,
6079,Male,19,,South,Music is important to me but not necessarily more important,,,66,48,76,61,76,85,47,7,28,78,50,31,31,51,71,20,69,,
6080,Male,24,,Centre,Music means a lot to me and is a passion of mine,3,,98,99,99,99,99,99,99,98,99,89,92,91,91,91,91,91,91,,
6081,Male,17,,Centre,Music means a lot to me and is a passion of mine,1,1,87,90,74,32,31,30,59,40,8,35,50,73,66,21,55,47,80,,
